AGLOMERADO,CH03,CH04,CH06,CH07,CH08,CH09,CH15,es_estudiante,ESTADO,CAT_OCUP,CAT_INAC,IV1,IV2,IV6,IV8,II8,IX_TOT,V2,V14,EDUC,horastrab,EDAD_2,ITF,ANIO,pobre
18.0,5.0,0,17.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,11.0,0.0,289.0,5295.0,2005.0,0
18.0,9.0,0,14.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,9.0,0.0,196.0,5295.0,2005.0,0
18.0,9.0,0,11.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,5.0,0.0,121.0,5295.0,2005.0,0
18.0,9.0,1,8.0,5.0,1,1.0,1.0,1,4.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,3.0,0.0,64.0,5295.0,2005.0,0
18.0,9.0,1,4.0,5.0,1,2.0,1.0,0,4.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,0.0,0.0,16.0,5295.0,2005.0,0
18.0,9.0,0,2.0,5.0,0,2.0,1.0,0,4.0,0.0,5.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,2.0,0.0,0.0,4.0,5295.0,2005.0,0
18.0,1.0,1,54.0,4.0,1,1.0,2.0,0,1.0,2.0,0.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,17.0,25.0,2916.0,1950.0,2005.0,0
18.0,3.0,1,27.0,5.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,14.0,60.0,729.0,1950.0,2005.0,0
18.0,3.0,0,21.0,3.0,1,1.0,1.0,0,2.0,3.0,0.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,13.0,0.0,441.0,1950.0,2005.0,0
18.0,5.0,0,4.0,5.0,1,2.0,1.0,0,4.0,0.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,0.0,0.0,16.0,1950.0,2005.0,0
18.0,5.0,1,2.0,5.0,1,2.0,1.0,0,4.0,0.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,0.0,0.0,4.0,1950.0,2005.0,0
18.0,1.0,0,45.0,3.0,1,1.0,1.0,0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,2.0,2.0,12.0,30.0,2025.0,1050.0,2005.0,0
18.0,3.0,1,14.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,2.0,2.0,9.0,0.0,196.0,1050.0,2005.0,0
18.0,3.0,0,13.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,4.0,1.0,1.0,0.0,3.0,2.0,2.0,7.0,0.0,169.0,1050.0,2005.0,0
18.0,1.0,0,48.0,5.0,1,1.0,1.0,0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,17.0,50.0,2304.0,1280.0,2005.0,0
18.0,1.0,1,66.0,2.0,1,1.0,1.0,0,3.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,2.0,12.0,0.0,4356.0,1700.0,2005.0,0
18.0,2.0,0,65.0,2.0,1,1.0,3.0,0,3.0,0.0,4.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,2.0,7.0,0.0,4225.0,1700.0,2005.0,0
18.0,5.0,1,21.0,5.0,1,1.0,1.0,0,2.0,3.0,0.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,2.0,12.0,0.0,441.0,1700.0,2005.0,0
18.0,5.0,0,18.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,2.0,12.0,0.0,324.0,1700.0,2005.0,0
18.0,5.0,0,1.0,5.0,1,3.0,1.0,0,4.0,0.0,5.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,2.0,0.0,0.0,1.0,1700.0,2005.0,0
18.0,1.0,1,69.0,2.0,1,1.0,3.0,0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,0.0,4761.0,800.0,2005.0,0
18.0,2.0,0,56.0,2.0,1,1.0,1.0,0,3.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,12.0,0.0,3136.0,800.0,2005.0,0
18.0,1.0,1,48.0,2.0,0,1.0,1.0,0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,5.0,2.0,1.0,10.0,30.0,2304.0,460.0,2005.0,1
18.0,2.0,0,47.0,2.0,0,1.0,1.0,0,3.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,5.0,2.0,1.0,7.0,0.0,2209.0,460.0,2005.0,1
18.0,3.0,0,24.0,5.0,0,1.0,1.0,0,3.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,5.0,2.0,1.0,12.0,0.0,576.0,460.0,2005.0,1
18.0,3.0,1,23.0,5.0,0,1.0,1.0,0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,5.0,2.0,1.0,7.0,45.0,529.0,460.0,2005.0,1
18.0,3.0,0,13.0,5.0,0,1.0,1.0,1,3.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,5.0,2.0,1.0,6.0,0.0,169.0,460.0,2005.0,1
18.0,1.0,0,77.0,5.0,1,1.0,1.0,0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,5929.0,390.0,2005.0,0
18.0,1.0,0,74.0,1.0,1,1.0,3.0,0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,0.0,5476.0,1378.0,2005.0,0
18.0,2.0,1,69.0,1.0,1,1.0,2.0,0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,12.0,0.0,4761.0,1378.0,2005.0,0
18.0,1.0,1,58.0,2.0,1,1.0,1.0,0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,7.0,2.0,2.0,16.0,72.0,3364.0,2380.0,2005.0,0
18.0,2.0,0,47.0,2.0,1,1.0,1.0,0,1.0,2.0,0.0,1.0,5.0,1.0,1.0,1.0,7.0,2.0,2.0,15.0,33.0,2209.0,2380.0,2005.0,0
18.0,3.0,1,26.0,5.0,1,1.0,1.0,0,1.0,2.0,0.0,1.0,5.0,1.0,1.0,1.0,7.0,2.0,2.0,17.0,40.0,676.0,2380.0,2005.0,0
18.0,3.0,0,21.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,5.0,1.0,1.0,1.0,7.0,2.0,2.0,16.0,0.0,441.0,2380.0,2005.0,0
18.0,3.0,0,17.0,5.0,1,1.0,1.0,1,3.0,0.0,3.0,1.0,5.0,1.0,1.0,1.0,7.0,2.0,2.0,12.0,0.0,289.0,2380.0,2005.0,0
